"","gravel_signal","gravel_noise","gravel_rate","gravel_feed","lower_gravel","upper_gravel"
"65",6.59978088784842,1.73304455083814,3.891111111,11,4.86673633701028,8.33282543868657
"66",7.21618943373158,1.86087692079464,6.266666667,11,5.35531251293694,9.07706635452622
"67",8.03560710528425,1.98833028908608,7.8,11,6.04727681619817,10.0239373943703
"68",9.01660280405032,2.11338931019501,7.222222222,11,6.90321349385531,11.1299921142453
"69",10.1058764858723,2.2175005209361,11.73333333,11,7.88837596493616,12.3233770068084
"70",11.1937009582081,2.31677948385335,15.1,11,8.87692147435475,13.5104804420614
"71",12.2109356043101,2.36427006036587,11.81111111,11,9.84666554394425,14.575205664676
"72",13.2028336496142,2.44889371746016,10.67111111,11,10.7539399321541,15.6517273670744
"73",14.2085806047643,2.49791039027957,13.62,11,11.7106702144848,16.7064909950439
"74",15.1852293765438,2.5594327980067,21.47555556,11,12.6257965785371,17.7446621745505
